No.,x (Matriks A),y (Matriks B),x-y,(x-y)²
1,0.0000,0.0000,0.0000,0.0000
2,0.0000,0.0000,0.0000,0.0000
3,0.0000,0.0000,0.0000,0.0000
4,0.0000,0.0000,0.0000,0.0000
5,0.0000,0.0000,0.0000,0.0000
6,0.0000,0.0000,0.0000,0.0000
7,0.0000,0.0000,0.0000,0.0000
8,0.0000,0.0000,0.0000,0.0000
9,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000
11,0.0000,0.0000,0.0000,0.0000
12,0.0000,0.0000,0.0000,0.0000
13,0.0000,0.0000,0.0000,0.0000
14,0.0000,0.0000,0.0000,0.0000
15,0.0000,0.0000,0.0000,0.0000
16,0.0000,0.0000,0.0000,0.0000
17,0.0000,0.0000,0.0000,0.0000
18,0.0000,0.0000,0.0000,0.0000
19,0.0000,0.0000,0.0000,0.0000
20,0.0000,0.0000,0.0000,0.0000
21,0.0000,0.0000,0.0000,0.0000
22,0.0000,0.0000,0.0000,0.0000
23,0.0000,0.0000,0.0000,0.0000
24,0.0000,0.0000,0.0000,0.0000
25,0.0011,0.0000,0.0011,0.0000
26,0.0161,0.0008,0.0153,0.0002
27,0.0385,0.0320,0.0065,0.0000
28,0.0719,0.0664,0.0055,0.0000
29,0.0348,0.0400,-0.0052,0.0000
30,0.0291,0.0317,-0.0025,0.0000
31,0.0317,0.0226,0.0091,0.0001
32,0.0289,0.0190,0.0098,0.0001
33,0.0209,0.0193,0.0016,0.0000
34,0.0156,0.0174,-0.0018,0.0000
35,0.0175,0.0124,0.0051,0.0000
36,0.0184,0.0185,-0.0001,0.0000
37,0.0323,0.0254,0.0069,0.0000
38,0.0348,0.0276,0.0072,0.0001
39,0.0439,0.0306,0.0133,0.0002
40,0.0574,0.0325,0.0249,0.0006
41,0.0475,0.0342,0.0134,0.0002
42,0.0501,0.0375,0.0126,0.0002
43,0.0560,0.0424,0.0136,0.0002
44,0.0560,0.0375,0.0186,0.0003
45,0.0538,0.0485,0.0053,0.0000
46,0.0501,0.0413,0.0087,0.0001
47,0.0470,0.0526,-0.0057,0.0000
48,0.0498,0.0405,0.0093,0.0001
49,0.0444,0.0350,0.0094,0.0001
50,0.0433,0.0361,0.0072,0.0001
51,0.0405,0.0355,0.0049,0.0000
52,0.0357,0.0325,0.0031,0.0000
53,0.0345,0.0383,-0.0038,0.0000
54,0.0379,0.0342,0.0037,0.0000
55,0.0337,0.0364,-0.0027,0.0000
56,0.0416,0.0347,0.0069,0.0000
57,0.0274,0.0309,-0.0034,0.0000
58,0.0351,0.0400,-0.0049,0.0000
59,0.0365,0.0361,0.0004,0.0000
60,0.0422,0.0479,-0.0058,0.0000
61,0.0456,0.0433,0.0023,0.0000
62,0.0427,0.0529,-0.0102,0.0001
63,0.0540,0.0510,0.0031,0.0000
64,0.0501,0.0650,-0.0149,0.0002
65,0.0555,0.0631,-0.0076,0.0001
66,0.0540,0.0617,-0.0077,0.0001
67,0.0580,0.0595,-0.0015,0.0000
68,0.0512,0.0628,-0.0116,0.0001
69,0.0637,0.0711,-0.0074,0.0001
70,0.0753,0.0863,-0.0110,0.0001
71,0.0792,0.1122,-0.0329,0.0011
72,0.0900,0.1108,-0.0208,0.0004
73,0.1005,0.1160,-0.0156,0.0002
74,0.1138,0.1069,0.0068,0.0000
75,0.1129,0.1251,-0.0122,0.0001
76,0.1098,0.1174,-0.0076,0.0001
77,0.0928,0.1133,-0.0204,0.0004
78,0.0962,0.1036,-0.0074,0.0001
79,0.0973,0.1127,-0.0154,0.0002
80,0.1152,0.1152,-0.0000,0.0000
81,0.1106,0.1188,-0.0081,0.0001
82,0.1050,0.1182,-0.0132,0.0002
83,0.1109,0.1022,0.0087,0.0001
84,0.1095,0.1072,0.0023,0.0000
85,0.1070,0.1042,0.0028,0.0000
86,0.1038,0.0929,0.0110,0.0001
87,0.0857,0.0909,-0.0052,0.0000
88,0.0829,0.0813,0.0016,0.0000
89,0.0880,0.0799,0.0081,0.0001
90,0.0877,0.0739,0.0139,0.0002
91,0.0886,0.0681,0.0205,0.0004
92,0.0840,0.0785,0.0055,0.0000
93,0.1007,0.0918,0.0090,0.0001
94,0.0948,0.0945,0.0003,0.0000
95,0.1064,0.1199,-0.0135,0.0002
96,0.0911,0.1020,-0.0108,0.0001
97,0.0710,0.0865,-0.0155,0.0002
98,0.0789,0.0827,-0.0037,0.0000
99,0.0699,0.0747,-0.0048,0.0000
100,0.0611,0.0637,-0.0025,0.0000
101,0.0702,0.0683,0.0018,0.0000
102,0.0651,0.0628,0.0023,0.0000
103,0.0688,0.0755,-0.0067,0.0000
104,0.0750,0.0799,-0.0049,0.0000
105,0.0804,0.0780,0.0024,0.0000
106,0.0835,0.0761,0.0074,0.0001
107,0.0860,0.0788,0.0072,0.0001
108,0.0750,0.0733,0.0017,0.0000
109,0.0773,0.0656,0.0117,0.0001
110,0.0922,0.0920,0.0002,0.0000
111,0.0979,0.1171,-0.0192,0.0004
112,0.0891,0.0890,0.0001,0.0000
113,0.0792,0.0788,0.0004,0.0000
114,0.0818,0.0766,0.0052,0.0000
115,0.0855,0.0761,0.0094,0.0001
116,0.0903,0.0846,0.0057,0.0000
117,0.0815,0.0741,0.0074,0.0001
118,0.0863,0.0843,0.0020,0.0000
119,0.0719,0.0865,-0.0147,0.0002
120,0.0764,0.0835,-0.0071,0.0001
121,0.0778,0.0785,-0.0007,0.0000
122,0.0753,0.0752,0.0000,0.0000
123,0.0699,0.0750,-0.0051,0.0000
124,0.0679,0.0744,-0.0065,0.0000
125,0.0863,0.0761,0.0102,0.0001
126,0.0948,0.1061,-0.0113,0.0001
127,0.1177,0.1317,-0.0140,0.0002
128,0.1123,0.1243,-0.0119,0.0001
129,0.1188,0.1111,0.0078,0.0001
130,0.1225,0.1155,0.0071,0.0000
131,0.1265,0.1069,0.0196,0.0004
132,0.1138,0.1050,0.0088,0.0001
133,0.1092,0.1146,-0.0054,0.0000
134,0.0982,0.1213,-0.0231,0.0005
135,0.0894,0.1201,-0.0307,0.0009
136,0.0937,0.1292,-0.0356,0.0013
137,0.1030,0.1325,-0.0295,0.0009
138,0.0905,0.1298,-0.0392,0.0015
139,0.0852,0.1000,-0.0149,0.0002
140,0.0939,0.0774,0.0165,0.0003
141,0.1050,0.0942,0.0107,0.0001
142,0.0965,0.1188,-0.0223,0.0005
143,0.0523,0.0769,-0.0245,0.0006
144,0.0300,0.0433,-0.0133,0.0002
145,0.0204,0.0358,-0.0155,0.0002
146,0.0249,0.0270,-0.0021,0.0000
147,0.0209,0.0256,-0.0047,0.0000
148,0.0161,0.0204,-0.0043,0.0000
149,0.0175,0.0209,-0.0034,0.0000
150,0.0153,0.0198,-0.0046,0.0000
151,0.0167,0.0193,-0.0026,0.0000
152,0.0173,0.0220,-0.0048,0.0000
153,0.0105,0.0163,-0.0058,0.0000
154,0.0144,0.0135,0.0009,0.0000
155,0.0141,0.0130,0.0012,0.0000
156,0.0108,0.0102,0.0006,0.0000
157,0.0139,0.0121,0.0017,0.0000
158,0.0130,0.0116,0.0014,0.0000
159,0.0116,0.0102,0.0014,0.0000
160,0.0076,0.0105,-0.0028,0.0000
161,0.0068,0.0096,-0.0029,0.0000
162,0.0068,0.0063,0.0005,0.0000
163,0.0057,0.0072,-0.0015,0.0000
164,0.0045,0.0091,-0.0046,0.0000
165,0.0059,0.0055,0.0004,0.0000
166,0.0042,0.0063,-0.0021,0.0000
167,0.0045,0.0047,-0.0002,0.0000
168,0.0020,0.0063,-0.0044,0.0000
169,0.0025,0.0052,-0.0027,0.0000
170,0.0040,0.0030,0.0009,0.0000
171,0.0025,0.0022,0.0003,0.0000
172,0.0028,0.0025,0.0003,0.0000
173,0.0031,0.0028,0.0004,0.0000
174,0.0020,0.0025,-0.0005,0.0000
175,0.0037,0.0044,-0.0007,0.0000
176,0.0020,0.0036,-0.0016,0.0000
177,0.0037,0.0025,0.0012,0.0000
178,0.0040,0.0039,0.0001,0.0000
179,0.0028,0.0030,-0.0002,0.0000
180,0.0028,0.0019,0.0009,0.0000
181,0.0034,0.0044,-0.0010,0.0000
182,0.0025,0.0030,-0.0005,0.0000
183,0.0042,0.0033,0.0009,0.0000
